epoch,loss,auc
1,0.529081377,0.835817635
2,0.539412216,0.75638485
3,0.542591239,0.745614946
4,0.55050959,0.741318047
5,0.563182678,0.725710154
6,0.573843568,0.715867937
7,0.579637553,0.717319489
8,0.580286546,0.721412241
9,0.57853165,0.72101903
10,0.576231688,0.717171073
11,0.574189745,0.714689374
12,0.572664918,0.716148078
13,0.571804492,0.719307482
14,0.571079528,0.720105648
15,0.570700023,0.718024373
16,0.570382515,0.715955079
17,0.569917362,0.715763628
18,0.569404905,0.716824651
19,0.569044035,0.717087388
20,0.568520828,0.715593517
21,0.567904805,0.71345979
22,0.567359379,0.712211609
23,0.56669211,0.712042928
24,0.565963562,0.711851776
25,0.565443221,0.710651636
26,0.565502709,0.709033132
27,0.565792265,0.707713723
28,0.56606462,0.707340479
29,0.566399329,0.70711726
30,0.566595711,0.706074476
31,0.566873441,0.705069542
32,0.56782489,0.70444417
33,0.569088831,0.704115748
34,0.571630687,0.703698993
35,0.575969009,0.702372313
36,0.580926937,0.701209068
37,0.587523293,0.7000525
38,0.593629053,0.699400246
39,0.59970471,0.697609484
40,0.603923339,0.695916891
41,0.60733458,0.694315195
42,0.611164746,0.693244338
43,0.615151157,0.690513015
44,0.62196898,0.68812716
45,0.627383103,0.686660945
46,0.632856713,0.685590625
47,0.640742811,0.682611883
48,0.649812219,0.680086672
49,0.658466644,0.677362978
50,0.668603968,0.672504842
51,0.675566211,0.672153175
52,0.679164516,0.668628752
53,0.68119965,0.6655972
54,0.682126014,0.664070368
55,0.68423497,0.659886599
56,0.687426894,0.659474134
57,0.689389997,0.655465841
58,0.691545899,0.650899053
59,0.690475474,0.648514152
60,0.687532611,0.645547211
61,0.688109573,0.643494844
62,0.684664287,0.640378177
63,0.683708179,0.635923386
64,0.683531507,0.636090696
65,0.683431883,0.633320034
66,0.687941859,0.631146848
67,0.684408417,0.634139657
68,0.692959993,0.631168842
69,0.686232834,0.627279401
70,0.687693515,0.620315969
71,0.690888664,0.626653612
72,0.685042717,0.617829263
73,0.684138571,0.615220606
74,0.687609659,0.616132557
75,0.684139288,0.608698308
76,0.68196081,0.611267984
77,0.68604792,0.605706275
78,0.685657665,0.602786243
79,0.681366288,0.605135739
80,0.683387446,0.600384891
81,0.686011367,0.601410031
82,0.681666595,0.595592678
83,0.682219546,0.596203387
84,0.687257031,0.597120941
85,0.682373283,0.594487429
86,0.682601918,0.590812981
87,0.686005275,0.588453412
88,0.680778576,0.58586973
89,0.679742912,0.586023688
90,0.682991815,0.588384867
91,0.680524856,0.582036555
92,0.681458387,0.58427316
93,0.686531349,0.586663246
94,0.684073708,0.580825448
95,0.684944884,0.57827872
96,0.685645122,0.576432109
97,0.678539534,0.575424016
98,0.679154124,0.575874269
99,0.677359809,0.573931158
100,0.674126674,0.574645698
101,0.679637553,0.571873426
102,0.676314828,0.573659778
103,0.679023322,0.568427563
104,0.683225467,0.568941414
105,0.67882479,0.573168159
106,0.682354649,0.567178726
107,0.682743112,0.566843152
108,0.675972951,0.571364045
109,0.67786259,0.561342418
110,0.675095324,0.564059854
111,0.671059101,0.561985075
112,0.675431109,0.562896013
113,0.678773544,0.563180327
114,0.67955513,0.563960373
115,0.688377268,0.559417725
116,0.689461311,0.558600545
117,0.690096686,0.556855679
118,0.694164086,0.557914972
119,0.689537642,0.556691766
120,0.690609859,0.554778039
121,0.688179453,0.555949569
122,0.684495499,0.552073181
123,0.685753347,0.555703998
124,0.683677719,0.553325415
125,0.685551231,0.553053737
126,0.685715361,0.549485564
127,0.683912804,0.552263677
128,0.685530805,0.551489532
129,0.683922838,0.549076796
130,0.691870574,0.553098738
131,0.685206846,0.558101714
132,0.693873814,0.557899237
133,0.694239701,0.552274764
134,0.688162252,0.552614212
135,0.692404891,0.549188435
136,0.699103022,0.556426287
137,0.692046888,0.561263859
138,0.694392004,0.547328651
139,0.701496875,0.564655781
140,0.69426837,0.54811883
141,0.693777415,0.554814458
142,0.699669591,0.547176063
143,0.700969367,0.545936167
144,0.698223245,0.550421417
145,0.699989966,0.546625853
146,0.703629125,0.54507941
147,0.70226556,0.54058975
148,0.698758637,0.54428637
149,0.697724764,0.540448725
150,0.699152834,0.545454144
151,0.696913434,0.541382015
152,0.696845704,0.543686271
153,0.700869743,0.539498329
154,0.703937315,0.542979836
155,0.70082889,0.538955867
156,0.702657249,0.53727293
157,0.708109358,0.534846127
158,0.713205255,0.54038763
159,0.715219962,0.537463725
160,0.715736719,0.533872902
161,0.717935624,0.535517633
162,0.719027192,0.531990528
163,0.722219833,0.534974515
164,0.725016126,0.534430206
165,0.721970772,0.530774772
166,0.721416746,0.530769467
167,0.723088859,0.531692624
168,0.724553123,0.532477438
169,0.72283944,0.53303194
170,0.720748043,0.528197169
171,0.718664172,0.531808674
172,0.719228233,0.530519009
173,0.725810972,0.530930459
174,0.728101617,0.529243708
175,0.724394369,0.529824376
176,0.724162151,0.532799244
177,0.728574654,0.527543306
178,0.733347309,0.529021978
179,0.728545268,0.522115886
180,0.727053769,0.529271543
181,0.730904719,0.526042461
182,0.738213856,0.52689904
183,0.734640635,0.527476311
184,0.735545139,0.530121624
185,0.734177991,0.528257549
186,0.739417233,0.525684476
187,0.73125663,0.530216157
188,0.729571973,0.526355028
189,0.727616754,0.522696078
190,0.729833219,0.520156324
191,0.731596356,0.525549352
192,0.725727115,0.523496628
193,0.729061308,0.52428329
194,0.73652024,0.518206418
195,0.744705212,0.522061467
196,0.740891531,0.523805201
197,0.735460208,0.524947405
198,0.743692483,0.52666074
199,0.746322138,0.53279084
200,0.74446081,0.52749896
201,0.736509489,0.522102714
202,0.736818755,0.52222091
203,0.744285929,0.525663078
204,0.740970012,0.518560052
205,0.732470758,0.520649791
206,0.733346593,0.523305893
207,0.740748903,0.517663896
208,0.750054113,0.519707799
209,0.741099381,0.51542455
210,0.736921963,0.521394789
211,0.743885281,0.515467107
212,0.755730914,0.521885514
213,0.746041183,0.519816756
214,0.745056406,0.518831491
215,0.75040889,0.517780304
216,0.755555675,0.518391192
217,0.747621198,0.516705632
218,0.748318927,0.519568205
219,0.761986827,0.518044293
220,0.75472786,0.519530952
221,0.748624968,0.516544878
222,0.752907027,0.515277088
223,0.760234082,0.514629722
224,0.754713884,0.516333759
225,0.749306929,0.51709795
226,0.759513417,0.518753529
227,0.757454273,0.51792568
228,0.756598506,0.516405225
229,0.759618059,0.511312187
230,0.766252759,0.515422642
231,0.764972335,0.515473902
232,0.75130981,0.514109552
233,0.754583082,0.511811972
234,0.763798701,0.511416376
235,0.759258981,0.513480544
236,0.756426493,0.513115048
237,0.758992001,0.509088993
238,0.759041097,0.511565924
239,0.756658711,0.514115214
240,0.754948611,0.512349486
241,0.763740647,0.51561892
242,0.770032754,0.510209799
243,0.761191981,0.510562062
244,0.763661091,0.511315703
245,0.771099596,0.510832369
246,0.758484203,0.513467669
247,0.765495184,0.511568606
248,0.786985393,0.512252748
249,0.75143452,0.513538897
250,0.749535205,0.512663007
251,0.771430005,0.509650707
252,0.787890614,0.511942506
253,0.757653522,0.514824629
254,0.750983343,0.512135625
255,0.767964651,0.506887734
256,0.797501147,0.514829874
257,0.751871721,0.512042105
258,0.745430535,0.52037096
259,0.756723933,0.510430396
260,0.789374946,0.508648157
261,0.796667598,0.514167964
262,0.753801855,0.512811422
263,0.741568476,0.511435509
264,0.75076976,0.506621718
265,0.784717683,0.510997534
266,0.785399286,0.505862176
267,0.76706839,0.504179657
268,0.759650311,0.509573221
269,0.765138256,0.503908038
270,0.780894685,0.507312179
271,0.780291921,0.504967093
272,0.766508271,0.50758636
273,0.763528497,0.503150344
274,0.772101574,0.507895529
275,0.788176586,0.508253872
276,0.775374488,0.518517852
277,0.771951421,0.513708889
278,0.772282546,0.50808531
279,0.781453728,0.509205043
280,0.783567343,0.510506868
281,0.762910324,0.510306597
282,0.756829649,0.504486382
283,0.76664409,0.50625217
284,0.781804206,0.508375704
285,0.783275996,0.505472004
286,0.765781514,0.504002571
287,0.756703865,0.510007203
288,0.769397021,0.502407968
289,0.78044315,0.506457925
290,0.773415685,0.508811533
291,0.770892105,0.500516653
292,0.778607623,0.509801149
293,0.78775802,0.508267641
294,0.793617227,0.500025153
295,0.781800622,0.505518556
296,0.769406697,0.507746994
297,0.775502423,0.501655877
298,0.789219417,0.509340227
299,0.782911184,0.507018924
300,0.772048178,0.500880361
301,0.774290803,0.506277859
302,0.782951679,0.50489074
303,0.782661406,0.502705753
304,0.777986941,0.507699311
305,0.774598994,0.501285911
306,0.782247499,0.498854905
307,0.787401809,0.50470072
308,0.778315559,0.498696417
309,0.776093719,0.50051713
310,0.787192526,0.501685023
311,0.788772183,0.502826929
312,0.782854921,0.501203954
313,0.78681768,0.501788139
314,0.797482512,0.49711895
315,0.790218529,0.499510258
316,0.786203449,0.499219179
317,0.7892101,0.501344562
318,0.790212795,0.500595629
319,0.789454502,0.502848387
320,0.790597675,0.498783767
321,0.796485551,0.502388477
322,0.806688455,0.502941012
323,0.787874129,0.499469489
324,0.79044788,0.49994874
325,0.807959563,0.501171529
326,0.786325292,0.495167524
327,0.785224406,0.498266369
328,0.798753261,0.498133183
329,0.790300952,0.496201783
330,0.790673648,0.501335204
331,0.797519782,0.495022267
332,0.7979749,0.4962852
333,0.797050328,0.498426467
334,0.794602721,0.496340156
335,0.793268183,0.494560957
336,0.796339339,0.49292466
337,0.798697357,0.497515857
338,0.790062283,0.495756298
339,0.792836,0.500103414
340,0.796461899,0.503022373
341,0.795179682,0.501442254
342,0.794409206,0.499453425
343,0.800390972,0.495188117
344,0.803365729,0.496406496
345,0.785011539,0.494751692
346,0.784969969,0.497002333
347,0.801409435,0.498150587
348,0.773463705,0.4996261
349,0.789625441,0.4942182
350,0.81707484,0.499770343
351,0.779823185,0.498338282
352,0.782897566,0.497670084
353,0.820124136,0.498830855
354,0.794409922,0.495959729
355,0.786603738,0.499061495
356,0.810526146,0.494067997
357,0.803442777,0.49341166
358,0.786397681,0.496167421
359,0.795295075,0.495846927
360,0.802741105,0.497375131
361,0.794748215,0.493428379
362,0.805320948,0.493389338
363,0.809966386,0.494713157
364,0.794784768,0.498717338
365,0.802305338,0.495715588
366,0.811883977,0.494297832
367,0.802854348,0.494074225
368,0.799674966,0.492388308
369,0.81036775,0.495944351
370,0.807164,0.493742019
371,0.797612955,0.491363585
372,0.811884335,0.494643539
373,0.798288108,0.493937463
374,0.803761002,0.489917397
375,0.811159729,0.490779698
376,0.796996574,0.493923962
377,0.804398885,0.49408251
378,0.803628408,0.502086043
379,0.795917907,0.498733103
380,0.80144993,0.494875312
381,0.812302185,0.495537698
382,0.792939208,0.491594881
383,0.800645767,0.493440956
384,0.821757905,0.494092315
385,0.789753376,0.49210301
386,0.802593102,0.491925806
387,0.829319329,0.497392088
388,0.764764843,0.502526402
389,0.777937846,0.502016187
390,0.834039663,0.498894155
391,0.778965268,0.495857328
392,0.771966113,0.502175689
393,0.811665018,0.495585203
394,0.839695321,0.502916932
395,0.761184097,0.502731919
396,0.746321421,0.508432746
397,0.774253533,0.498889923
398,0.839744058,0.500282764
399,0.843944053,0.495101988
400,0.785734712,0.498603284
